"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"2917","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP171/2025-2026/201275","KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","12-Mar-2026","G VENKATAIAH","Payment Success","242911"
"2918","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP171/2025-2026/201274","KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","12-Mar-2026","G VENKATAIAH","Payment Success","297310"
"2919","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP146/2024-2025/11893","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","20-Mar-2026","DHAKA MATERIAL SUPPLIERS","Payment Success","1210000"
"2920","Gujarat","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP889/2025-2026/186676","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","02-Mar-2026","BHALGAM GRUP GRAM PANCHAYAT","Payment Success","350000"
"2921","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2023-2024/31436","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","02-Mar-2026","Rambhau Padam","Payment Success","6000"
"2922","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2023-2024/26206","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","02-Mar-2026","Ravina Evaney","Payment Success","2970"
"2923","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2023-2024/26206","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","02-Mar-2026","Champa Dharasing Uikey","Payment Success","2970"
"2924","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2023-2024/26206","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","02-Mar-2026","Pramesh Dharasing Uikey","Payment Success","2970"
"2925","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2023-2024/26206","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","02-Mar-2026","Netram Dhurve","Payment Success","3850"
"2926","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2023-2024/26206","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","02-Mar-2026","Durga Dhurve","Payment Success","2240"
"2927","Punjab","Purchase of training equipment","WS/MP844/2025-2026/244229","MOGA(Deputy Commissioner Moga)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","05-Mar-2026","Amarjoti Traders","Payment Success","232000"
"2928","Punjab","Purchase of training equipment","WS/MP844/2025-2026/244229","MOGA(Deputy Commissioner Moga)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","05-Mar-2026","Vishal Tools","Payment Success","29860"
"2929","Gujarat","Providing supply pipelines for drinking water","WS/MP18403/2025-2026/242084","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","30-Jun-2026","Ditasan Gram Panchayat","Payment Success","200000"
"2930","Maharashtra","Construction of boundary walls of existing public and community buildings","WS/MP18292/2026-2027/157902","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030)","Elected MP","17-Apr-2026","ARJUN SANJAY MORE","Payment Success","1498000"
"2931","Madhya Pradesh","Construction of culverts and bridges","WS/MP106/2025-2026/1464","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","27-Feb-2026","PUSPENDRA PATEL","Payment Success","250000"
"2932","Madhya Pradesh","Construction of culverts and bridges","WS/MP106/2025-2026/1464","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","03-Aug-2026","PUSPENDRA PATEL","Payment Success","50000"
"2933","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP141/2025-2026/213252","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","09-Mar-2026","Saini Cement Store Lamien","Payment Success","39494"
"2934","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP141/2025-2026/213252","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","09-Mar-2026","Saini Cement Store Lamien","Payment Success","39000"
"2935","Odisha","Construction of common work sheds/ common covered sitting area","WS/MP138/2025-2026/253607","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","06-Mar-2026","Pramod Giri","Payment Success","1000000"
"2936","Himachal Pradesh","Installing hand pumps","WS/MP078/2024-2025/146820","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","23-Feb-2026","Smt Ritu Kumari MS Sandeep Engg Works","Payment Success","93435"
"2937","Tamil Nadu","Setting up of laboratories","WS/MP18435/2025-2026/252925","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Smt. Rajathi (2025-31) (2025-2031)","Elected MP","10-Feb-2026","THIRUKUMARAA TRADERS","Payment Success","625000"
"2938","Tamil Nadu","Setting up of laboratories","WS/MP18435/2025-2026/252928","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Smt. Rajathi (2025-31) (2025-2031)","Elected MP","11-Feb-2026","THIRUKUMARAA TRADERS","Payment Success","625000"
"2939","Tamil Nadu","Setting up of laboratories","WS/MP18435/2025-2026/252926","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Smt. Rajathi (2025-31) (2025-2031)","Elected MP","10-Feb-2026","THIRUKUMARAA TRADERS","Payment Success","625000"
"2940","Tamil Nadu","Setting up of laboratories","WS/MP18435/2025-2026/252927","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Smt. Rajathi (2025-31) (2025-2031)","Elected MP","10-Feb-2026","THIRUKUMARAA TRADERS","Payment Success","625000"
"2941","Tamil Nadu","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18435/2025-2026/252931","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Smt. Rajathi (2025-31) (2025-2031)","Elected MP","27-Feb-2026","CHENDHOOR ENTERPRISES","Payment Success","625000"
"2942","Tamil Nadu","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18435/2025-2026/252932","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Smt. Rajathi (2025-31) (2025-2031)","Elected MP","27-Feb-2026","CHENDHOOR ENTERPRISES","Payment Success","625000"
"2943","Puducherry","Providing CCTV camera system for security of public areas","WS/MP139/2025-2026/229073","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","09-Feb-2026","Muthuraman Trading Company","Payment Success","353646"
"2944","Puducherry","Installing community drinking water plants","WS/MP139/2025-2026/229074","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","09-Feb-2026","Hi flow sweet water technology","Payment Success","252700"
"2945","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2026-2027/277339","DINDORI(District Collector Dindori_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","29-Jun-2026","CHANDRA SINGH PARPAR TRADERS","Payment Success","202014"
"2946","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2025-2026/240641","DINDORI(District Collector Dindori_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","05-Feb-2026","CHANDRA SINGH PARPAR TRADERS","Payment Success","204611"
"2947","Delhi","Lighting of public spaces","WS/MP878/2025-2026/209492","SOUTH(COMMISSIONER SOUTH)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","07-Mar-2026","D K ASSOCIATES","Payment Success","732362"
"2948","Delhi","Street lights","WS/MP879/2025-2026/195174","NEW DELHI(COMMISSIONER MCD NEW DELHI)","Shri Narain Dass Gupta (2024-30) (2024-2030)","Elected MP","11-Feb-2026","D K ASSOCIATES","Payment Success","747467"
"2949","Rajasthan","Construction of public libraries and reading rooms","WS/MP146/2023-2024/14908","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","30-Jul-2026","RAMDEV CONSTRUCTION COMPANY","Payment Success","299878"
"2950","Uttarakhand","Construction of community centers and community halls","WS/MP850/2025-2026/203887","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","22-May-2026","DEEPAK CONTRACTOR","Payment Success","981235"
"2951","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18373/2025-2026/199581","Kakinada(DISTRICT COLLECTOR KAKINADA_IDA)","Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030)","Elected MP","14-Feb-2026","PENKEY SIVA RAM PRASAD","Payment Success","468981"
"2952","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18373/2025-2026/199582","Kakinada(DISTRICT COLLECTOR KAKINADA_IDA)","Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030)","Elected MP","14-Feb-2026","PENKEY SIVA RAM PRASAD","Payment Success","437466"
"2953","Punjab","Purchase of mobile water tankers","WS/MP140/2025-2026/199401","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","16-Feb-2026","GHATOURA AGRICULTURE WORKS","Payment Success","365800"
"2954","Kerala","Construction of buildings for crèches and anganwadies","WS/MP842/2024-2025/142770","PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA)","Smt. P. T. Usha (2022-28) (2022-2028)","Nominated MP","10-Feb-2026","V V Omanakuttan","Payment Success","86651"
"2955","Maharashtra","Construction of community centers and community halls","WS/MP108/2025-2026/190181","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","13-Feb-2026","SHAKUNTAL MAJOOR KAMGAR SAH SOC KARLA","Payment Success","1492397"
"2956","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP096/2025-2026/166597","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","10-Feb-2026","SURENDRA BABU C","Payment Success","871332"
"2957","Telangana","Construction of night shelters for homeless","WS/MP171/2025-2026/201775","WANAPARTHY(DISTRICT COLLECTOR WANAPARTHY_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","06-Feb-2026","R K Constructions","Payment Success","1000000"
"2958","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18340/2025-2026/256789","RAIGARH(DISTRICT COLLECTOR RAIGARH_IDA)","Shri Devendra Pratap Singh (2024-30) (2024-2030)","Elected MP","20-Feb-2026","GRAM PANCHAYAT AMAPALI","Payment Success","600000"
"2959","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18340/2025-2026/256789","RAIGARH(DISTRICT COLLECTOR RAIGARH_IDA)","Shri Devendra Pratap Singh (2024-30) (2024-2030)","Elected MP","19-Jun-2026","GRAM PANCHAYAT AMAPALI","Payment Success","599450"
"2960","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18340/2025-2026/256790","RAIGARH(DISTRICT COLLECTOR RAIGARH_IDA)","Shri Devendra Pratap Singh (2024-30) (2024-2030)","Elected MP","20-Feb-2026","GRAM PANCHAYAT GAMEKELA","Payment Success","500000"
"2961","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18340/2025-2026/256790","RAIGARH(DISTRICT COLLECTOR RAIGARH_IDA)","Shri Devendra Pratap Singh (2024-30) (2024-2030)","Elected MP","19-Jun-2026","GRAM PANCHAYAT GAMEKELA","Payment Success","500000"
"2962","Andhra Pradesh","Construction of culverts and bridges","WS/MP18334/2025-2026/215002","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","13-Feb-2026","SRI NAGARAPAMMA SC AND VADDE LABOUR CONTRACT CO OP SOCIETY","Payment Success","495229"
"2963","Andhra Pradesh","Construction of culverts and bridges","WS/MP18334/2025-2026/215003","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","13-Feb-2026","SRI NAGARAPAMMA SC AND VADDE LABOUR CONTRACT CO OP SOCIETY","Payment Success","497204"
"2964","Andhra Pradesh","Construction of culverts and bridges","WS/MP18334/2025-2026/215001","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","13-Feb-2026","SRI NAGARAPAMMA SC AND VADDE LABOUR CONTRACT CO OP SOCIETY","Payment Success","493884"
"2965","Uttar Pradesh","Installation of multi-gym equipment","WS/MP18317/2025-2026/222130","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","18-Mar-2026","B L CONSTRUCTION","Payment Success","619237"
"2966","Uttar Pradesh","Installation of multi-gym equipment","WS/MP18317/2025-2026/222135","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","18-Mar-2026","B L CONSTRUCTION","Payment Success","619237"
"2967","Uttar Pradesh","Installation of multi-gym equipment","WS/MP18317/2025-2026/222134","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","18-Mar-2026","B L CONSTRUCTION","Payment Success","619237"
"2968","Uttar Pradesh","Installation of multi-gym equipment","WS/MP18317/2025-2026/222133","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","18-Mar-2026","B L CONSTRUCTION","Payment Success","619237"
"2969","Uttar Pradesh","Installation of multi-gym equipment","WS/MP18317/2025-2026/222132","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","18-Mar-2026","B L CONSTRUCTION","Payment Success","619237"
"2970","Uttar Pradesh","Installation of multi-gym equipment","WS/MP18317/2025-2026/222131","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","18-Mar-2026","B L CONSTRUCTION","Payment Success","619237"
"2971","Uttar Pradesh","Installation of multi-gym equipment","WS/MP18317/2025-2026/222141","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","18-Mar-2026","B L CONSTRUCTION","Payment Success","619237"
"2972","Uttar Pradesh","Installation of multi-gym equipment","WS/MP18317/2025-2026/222140","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","18-Mar-2026","B L CONSTRUCTION","Payment Success","619237"
"2973","Uttar Pradesh","Installation of multi-gym equipment","WS/MP18317/2025-2026/222139","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","18-Mar-2026","B L CONSTRUCTION","Payment Success","619237"
"2974","Uttar Pradesh","Installation of multi-gym equipment","WS/MP18317/2025-2026/222138","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","18-Mar-2026","B L CONSTRUCTION","Payment Success","619237"
"2975","Uttar Pradesh","Installation of multi-gym equipment","WS/MP18317/2025-2026/222137","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","18-Mar-2026","B L CONSTRUCTION","Payment Success","619237"
"2976","Uttar Pradesh","Installation of multi-gym equipment","WS/MP18317/2025-2026/222136","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","18-Mar-2026","B L CONSTRUCTION","Payment Success","619237"
"2977","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2025-2026/223092","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","18-Feb-2026","B L CONSTRUCTION","Payment Success","209907"
"2978","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2025-2026/223091","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","18-Feb-2026","B L CONSTRUCTION","Payment Success","209907"
"2979","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2025-2026/223090","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","18-Feb-2026","B L CONSTRUCTION","Payment Success","209907"
"2980","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2025-2026/223098","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","18-Feb-2026","B L CONSTRUCTION","Payment Success","209907"
"2981","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2025-2026/223097","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","18-Feb-2026","B L CONSTRUCTION","Payment Success","209907"
"2982","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2025-2026/223096","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","18-Feb-2026","B L CONSTRUCTION","Payment Success","209907"
"2983","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2025-2026/223095","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","18-Feb-2026","B L CONSTRUCTION","Payment Success","209907"
